ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
W9,GND,G,power_in,M,Digital ground 2,Ground,N/A,470,,
W10,VDD-DNRFB,P,passive,K,Core power / sense,Power,N/A,373,,
W12,GND,G,power_in,M,Digital ground 2,Ground,N/A,471,,
W14,GND,G,power_in,M,Digital ground 2,Ground,N/A,472,,
W21,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
W23,SDQ8,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,39,,
W24,SDQ9,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,40,,
W25,GND,G,power_in,M,Digital ground 2,Ground,N/A,473,,
W26,SDQ10,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,41,,
W27,SDQ11,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,42,,
W28,SDQM1,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,64,,
W29,GND,G,power_in,M,Digital ground 2,Ground,N/A,474,,
Y1,LRADC0,AI,input,J,Audio / ADC,LRADC,AVCC,180,,
Y2,LRADC1,AI,input,J,Audio / ADC,LRADC,AVCC,181,,
Y12,VDD-CPUS,P,power_in,K,Core power / sense,Power,N/A,362,,
Y14,VCC-DRAML,P,power_in,B,DRAM address / control / power,SDRAM,N/A,80,,
Y15,VCC-DRAML,P,power_in,B,DRAM address / control / power,SDRAM,N/A,80,,
Y16,VCC-DRAML,P,power_in,B,DRAM address / control / power,SDRAM,N/A,80,,
Y17,VCC-DRAML,P,power_in,B,DRAM address / control / power,SDRAM,N/A,80,,
Y19,VCC-DRAML,P,power_in,B,DRAM address / control / power,SDRAM,N/A,80,,
Y21,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
Y28,SDQ5,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,36,,
Y29,SDQ7,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,38,,
AA1,MICIN1N,AI,input,J,Audio / ADC,Audio Codec,AVCC,144,,
AA2,MICIN1P,AI,input,J,Audio / ADC,Audio Codec,AVCC,143,,
AA3,AGND,G,power_in,J,Audio / ADC,Audio Codec,N/A,170,,
AA4,VRP,P,output,J,Audio / ADC,Audio Codec,N/A,169,,
AA5,VDD33,P,power_in,J,Audio / ADC,Audio Codec,N/A,167,,
AA6,GND,G,power_in,M,Digital ground 2,Ground,N/A,475,,
AA7,GND,G,power_in,M,Digital ground 2,Ground,N/A,476,,
AA9,VCC-PL,P,power_in,G,GPIO K / L / M,Port L,N/A,350,,
AA10,VCC-RTC,P,power_in,C,System / clocks / boot,RTC&PLL,N/A,93,,
AA11,GND,G,power_in,M,Digital ground 2,Ground,N/A,477,,
AA12,VCC-DCXO,P,power_in,C,System / clocks / boot,DCXO,N/A,100,,
AA17,GND,G,power_in,M,Digital ground 2,Ground,N/A,478,,
AA18,GND,G,power_in,M,Digital ground 2,Ground,N/A,479,,
AA19,GND,G,power_in,M,Digital ground 2,Ground,N/A,480,,
AA20,GND,G,power_in,M,Digital ground 2,Ground,N/A,481,,
AA21,VDD18-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,81,,
AA23,SDQ1,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,32,,
AA24,SDQ0,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,31,,
AA25,GND,G,power_in,M,Digital ground 2,Ground,N/A,482,,
AA26,SDQ4,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,35,,
AA27,SDQ6,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,37,,
AA28,GND,G,power_in,M,Digital ground 2,Ground,N/A,483,,
AA29,SDQM0,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,63,,
AB1,MICIN2N,AI,input,J,Audio / ADC,Audio Codec,AVCC,146,,
