ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
A1,GND,G,power_in,L,Digital ground 1,Ground,N/A,392,,
A2,GND,G,power_in,L,Digital ground 1,Ground,N/A,393,,
A3,PK2,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,311,,2:MCSIA-D1N; 14:PK-EINT2
A4,PK0,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,309,,2:MCSIA-D0N; 14:PK-EINT0
A5,PH16,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,304,,3:I2S3-DOUT0; 4:I2S3-DIN1; 5:RGMII0-RXCK/RMII0-NULL; 6:CLK-FANOUT0; 14:PH-EINT16
A6,PH14,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,302,,4:I2S3-BCLK; 5:RGMII0-RXD3/RMII0-NULL; 14:PH-EINT14
A8,PH11,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,299,,2:DMIC-DATA2; 3:SPI2-MISO; 4:I2S2-DOUT0; 5:I2S2-DIN1; 6:PCIE0-PERSTN; 14:PH-EINT11
A10,PH4,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,292,,2:UART3-TX; 3:SPI1-CS0; 5:RGMII0-TXD1/RMII0-TXD1; 14:PH-EINT4
A12,PF3,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,266,,2:SDC0-CMD; 3:JTAG-DO; 5:I2S3-LRCK; 14:PF-EINT3
A14,AVSS,G,power_in,N,Analog ground,Ground,N/A,375,,
A16,PCIE-RX0-DP/USB3-RXP,AI,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,119,,
A18,USB0-DP,A I/O,bidirectional,H,USB / PCIe,USB2.0 DRD,VCC33-USB,102,,
A20,EDP-TX1P,AO,output,I,eDP,eDP1.3,VCC18-EDP,134,,
A22,EDP-TX3P,AO,output,I,eDP,eDP1.3,VCC18-EDP,138,,
A24,PD0,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,218,,2:LCD0-D2; 3:LVDS0-D0P; 4:DSI0-D0P; 5:PWM0-0; 14:PD-EINT0
A25,PD2,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,220,,2:LCD0-D4; 3:LVDS0-D1P; 4:DSI0-D1P; 5:PWM0-2; 14:PD-EINT2
A26,PD4,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,222,,2:LCD0-D6; 3:LVDS0-D2P; 4:DSI0-CKP; 5:PWM0-4; 14:PD-EINT4
A27,PD6,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,224,,2:LCD0-D10; 3:LVDS0-CKP; 4:DSI0-D2P; 5:PWM0-6; 14:PD-EINT6
A28,PD8,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,226,,2:LCD0-D12; 3:LVDS0-D3P; 4:DSI0-D3P; 5:PWM0-8; 14:PD-EINT8
A29,GND,G,power_in,L,Digital ground 1,Ground,N/A,394,,
B1,PK5,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,314,,2:MCSIA-CKP; 3:TWI2-SDA; 14:PK-EINT5
B2,PK4,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,313,,2:MCSIA-CKN; 3:TWI2-SCK; 14:PK-EINT4
B3,PK3,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,312,,2:MCSIA-D1P; 14:PK-EINT3
B4,PK1,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,310,,2:MCSIA-D0P; 14:PK-EINT1
B5,PH17,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,305,,3:I2S3-DOUT1; 4:I2S3-DIN0; 5:RGMII0-TXD3/RMII0-NULL; 14:PH-EINT17
B6,PH15,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,303,,4:I2S3-LRCK; 5:RGMII0-RXD2/RMII0-NULL; 14:PH-EINT15
B7,PH13,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,301,,3:TWI3-SDA; 4:I2S3-MCLK; 5:RGMII0-EPHY-25M; 14:PH-EINT13
B8,PH10,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,298,,2:DMIC-DATA1; 3:SPI2-MOSI; 4:I2S2-LRCK; 5:RGMII0-MDIO; 14:PH-EINT10
B9,PH5,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,293,,2:UART3-RX; 3:SPI1-CLK; 4:LEDC; 5:RGMII0-TXD0/RMII0-TXD0; 14:PH-EINT5
B10,PH3,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,291,,2:TWI1-SDA; 3:IR-TX; 4:I2S2-DIN2; 5:RGMII0-CLKIN/RMII0-RXER; 6:I2S2-DOUT2; 14:PH-EINT3
B11,PF5,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,268,,2:SDC0-D2; 3:JTAG-CK; 5:I2S3-BCLK; 14:PF-EINT5
B12,PF2,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,265,,2:SDC0-CLK; 3:UART0-TX; 5:I2S3-DIN2; 6:I2S3-DOUT2; 14:PF-EINT2
B13,PF1,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,264,,2:SDC0-D0; 3:JTAG-DI; 5:I2S3-DOUT0; 6:I2S3-DIN1; 14:PF-EINT1
B14,PCIE-REF-CLKP,A I/O,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,116,,
B15,PCIE-TX0-DP/USB3-TXP,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,121,,
B16,PCIE-RX0-DN/USB3-RXN,AI,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,120,,
B17,USB2-DP,A I/O,bidirectional,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC33-USB-2,113,Supply spelling: VCC33-UAB-2 -> VCC33-USB-2,
B18,USB0-DM,A I/O,bidirectional,H,USB / PCIe,USB2.0 DRD,VCC33-USB,103,,
B19,EDP-TX0P,AO,output,I,eDP,eDP1.3,VCC18-EDP,132,,
B20,EDP-TX1N,AO,output,I,eDP,eDP1.3,VCC18-EDP,135,,
B21,EDP-TX2P,AO,output,I,eDP,eDP1.3,VCC18-EDP,136,,
B22,EDP-TX3N,AO,output,I,eDP,eDP1.3,VCC18-EDP,139,,
B23,EDP-AUXP,A I/O,bidirectional,I,eDP,eDP1.3,VCC18-EDP,128,,
B24,PD1,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,219,,2:LCD0-D3; 3:LVDS0-D0N; 4:DSI0-D0N; 5:PWM0-1; 14:PD-EINT1
B25,PD3,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,221,,2:LCD0-D5; 3:LVDS0-D1N; 4:DSI0-D1N; 5:PWM0-3; 14:PD-EINT3
B26,PD5,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,223,,2:LCD0-D7; 3:LVDS0-D2N; 4:DSI0-CKN; 5:PWM0-5; 14:PD-EINT5
B27,PD7,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,225,,2:LCD0-D11; 3:LVDS0-CKN; 4:DSI0-D2N; 5:PWM0-7; 14:PD-EINT7
B28,PD9,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,227,,2:LCD0-D13; 3:LVDS0-D3N; 4:DSI0-D3N; 5:PWM0-9; 14:PD-EINT9
B29,GND,G,power_in,L,Digital ground 1,Ground,N/A,395,,
C1,PK13,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,322,,2:MCSIC-D0P; 3:UART7-RX; 4:TWI4-SDA; 5:NCSI-MCLK; 14:PK-EINT13
C2,PK12,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,321,,2:MCSIC-D0N; 3:UART7-TX; 4:TWI4-SCK; 5:NCSI-PCLK; 14:PK-EINT12
C3,GND,G,power_in,L,Digital ground 1,Ground,N/A,396,,
C4,PK7,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,316,,2:MCSIB-D0P; 14:PK-EINT7
C5,PK6,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,315,,2:MCSIB-D0N; 14:PK-EINT6
C6,GND,G,power_in,L,Digital ground 1,Ground,N/A,397,,
C7,PH12,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,300,,2:DMIC-DATA3; 3:TWI3-SCK; 4:I2S2-DIN0; 5:I2S2-DOUT1; 6:PCIE0-WAKEN; 14:PH-EINT12
C8,GND,G,power_in,L,Digital ground 1,Ground,N/A,398,,
C9,PH6,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,294,,2:UART3-RTS; 3:SPI1-MOSI; 4:OWA-IN; 5:RGMII0-TXCK/RMII0-TXCK; 14:PH-EINT6
C10,GND,G,power_in,L,Digital ground 1,Ground,N/A,399,,
C11,PF4,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,267,,2:SDC0-D3; 3:UART0-RX; 5:I2S3-DIN3; 6:I2S3-DOUT3; 14:PF-EINT4
C12,PF6,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,269,,5:I2S3-MCLK; 14:PF-EINT6
C13,PF0,I/O,bidirectional,D,GPIO B / C / F,Port F,VCC-IO/VCC-MCSI,263,,2:SDC0-D1; 3:JTAG-MS; 5:I2S3-DIN0; 6:I2S3-DOUT1; 14:PF-EINT0
C14,PCIE-REF-CLKN,A I/O,input,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,117,,
C15,PCIE-TX0-DN/USB3-TXN,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,122,,
C16,AVSS,G,power_in,N,Analog ground,Ground,N/A,376,,
C17,USB2-DM,A I/O,bidirectional,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC33-USB-2,114,Supply spelling: VCC33-UAB-2 -> VCC33-USB-2,
C18,AVSS,G,power_in,N,Analog ground,Ground,N/A,377,,
C19,EDP-TX0N,AO,output,I,eDP,eDP1.3,VCC18-EDP,133,,
C20,AVSS,G,power_in,N,Analog ground,Ground,N/A,378,,
C21,EDP-TX2N,AO,output,I,eDP,eDP1.3,VCC18-EDP,137,,
C22,AVSS,G,power_in,N,Analog ground,Ground,N/A,379,,
C23,EDP-AUXN,A I/O,bidirectional,I,eDP,eDP1.3,VCC18-EDP,129,,
C24,GND,G,power_in,L,Digital ground 1,Ground,N/A,400,,
C25,GND,G,power_in,L,Digital ground 1,Ground,N/A,401,,
C26,GND,G,power_in,L,Digital ground 1,Ground,N/A,402,,
C27,GND,G,power_in,L,Digital ground 1,Ground,N/A,403,,
C28,PD10,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,228,,2:LCD0-D14; 3:LVDS1-D0P; 4:DSI1-D0P; 5:PWM0-10; 6:SPI1-CS0/DBI-CSX; 14:PD-EINT10
C29,PD11,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,229,,2:LCD0-D15; 3:LVDS1-D0N; 4:DSI1-D0N; 5:PWM0-11; 6:SPI1-CLK/DBI-SCLK; 14:PD-EINT11
D1,PK15,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,324,,2:MCSIC-D1P; 3:UART7-CTS; 4:UART5-CTS; 5:NCSI-VSYNC; 14:PK-EINT15
D2,PK14,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,323,,2:MCSIC-D1N; 3:UART7-RTS; 4:UART5-RTS; 5:NCSI-HSYNC; 14:PK-EINT14
D6,PH18,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,306,,2:IR-TX; 3:I2S3-DOUT2; 4:I2S3-DIN2; 5:RGMII0-TXD2/RMII0-NULL; 14:PH-EINT18
D8,PH9,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,297,,2:DMIC-DATA0; 3:SPI2-CLK; 4:I2S2-BCLK; 5:RGMII0-MDC; 14:PH-EINT9
D10,PH2,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,290,,2:TWI1-SCK; 4:I2S2-DIN3; 5:RGMII0-RXCTL/RMII0-CRS-DV; 6:I2S2-DOUT3; 14:PH-EINT2
D12,GND,G,power_in,L,Digital ground 1,Ground,N/A,404,,
D14,AVSS,G,power_in,N,Analog ground,Ground,N/A,380,,
D16,USB2-REXT,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC33-USB-2,115,Supply spelling: VCC33-UAB-2 -> VCC33-USB-2,
D18,USB1-REXT,AO,output,H,USB / PCIe,USB2.0 Host,VCC33-USB,111,,
D20,USB1-DP,A I/O,bidirectional,H,USB / PCIe,USB2.0 Host,VCC33-USB,109,,
D22,EDP-REXT,AO,output,I,eDP,eDP1.3,VCC18-EDP,131,,
D28,PD12,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,230,,2:LCD0-D18; 3:LVDS1-D1P; 4:DSI1-D1P; 5:PWM0-12; 6:SPI1-MOSI/DBI-SDO; 14:PD-EINT12
D29,PD13,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,231,,2:LCD0-D19; 3:LVDS1-D1N; 4:DSI1-D1N; 5:PWM0-13; 6:SPI1-MISO/DBI-SDI/DBI-TE/DBI-DCX; 14:PD-EINT13
E1,PK17,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,326,,2:MCSIC-CKP; 3:TWI5-SDA; 4:UART5-RX; 5:NCSI-D1; 14:PK-EINT17
E2,PK16,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,325,,2:MCSIC-CKN; 3:TWI5-SCK; 4:UART5-TX; 5:NCSI-D0; 14:PK-EINT16
E3,GND,G,power_in,L,Digital ground 1,Ground,N/A,405,,
E4,PK9,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,318,,2:MCSIB-D1P; 14:PK-EINT9
E5,PK8,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,317,,2:MCSIB-D1N; 14:PK-EINT8
E6,PH19,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,307,,2:IR-RX; 3:I2S3-DOUT3; 4:I2S3-DIN3; 5:LEDC; 6:PCIE0-CLKREQN; 14:PH-EINT19
E8,PH8,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,296,,2:DMIC-CLK; 3:SPI2-CS0; 4:I2S2-MCLK; 5:I2S2-DIN2; 14:PH-EINT8
E10,PH1,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,289,,2:TWI0-SDA; 5:RGMII0-RXD0/RMII0-RXD0; 14:PH-EINT1
E12,FEL,I,input,C,System / clocks / boot,System,VCC-IO,83,,
E14,PCIE-REXT,AO,output,H,USB / PCIe,PCIe2.1&USB3.1 DRD,VCC18-PCIE,118,,
E16,VCC33-18-USB-2,P,power_in,H,USB / PCIe,PCIe2.1&USB3.1 DRD,N/A,124,,
E18,USB0-REXT,AO,output,H,USB / PCIe,USB2.0 DRD,VCC33-USB,104,,
E20,USB1-DM,A I/O,bidirectional,H,USB / PCIe,USB2.0 Host,VCC33-USB,110,,
E22,EDP-HPD,AI,input,I,eDP,eDP1.3,VCC18-EDP,130,,
E24,GND,G,power_in,L,Digital ground 1,Ground,N/A,406,,
E25,PD17,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,235,,2:LCD0-D23; 3:LVDS1-CKN; 4:DSI1-D2N; 5:PWM1-1; 6:UART3-CTS; 14:PD-EINT17
E26,PD16,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,234,,2:LCD0-D22; 3:LVDS1-CKP; 4:DSI1-D2P; 5:PWM1-0; 6:UART3-RTS; 14:PD-EINT16
E27,GND,G,power_in,L,Digital ground 1,Ground,N/A,407,,
E28,PD14,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,232,,2:LCD0-D20; 3:LVDS1-D2P; 4:DSI1-CKP; 5:PWM0-14; 6:UART3-TX; 14:PD-EINT14
E29,PD15,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,233,,2:LCD0-D21; 3:LVDS1-D2N; 4:DSI1-CKN; 5:PWM0-15; 6:UART3-RX; 14:PD-EINT15
F1,PK18,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,327,,2:MCSID-D0N; 3:MCSI0-MCLK; 4:UART6-TX; 5:NCSI-D2; 14:PK-EINT18
F2,PK19,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,328,,2:MCSID-D0P; 3:TWI2-SCK; 4:UART6-RX; 5:NCSI-D3; 14:PK-EINT19
F8,PH7,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,295,,2:UART3-CTS; 3:SPI1-MISO; 4:OWA-OUT; 5:RGMII0-TXCTL/RMII0-TXEN; 14:PH-EINT7
F10,PH0,I/O,bidirectional,F,GPIO G / H,Port H,VCC-IO,288,,2:TWI0-SCK; 5:RGMII0-RXD1/RMII0-RXD1; 14:PH-EINT0
F12,JTAG-SEL,I,input,C,System / clocks / boot,System,VCC-IO,84,,
F14,NC,N/A,no_connect,C,System / clocks / boot,Others,N/A,517,,
F16,AVSS,G,power_in,N,Analog ground,Ground,N/A,381,,
F18,AVSS,G,power_in,N,Analog ground,Ground,N/A,382,,
F20,AVSS,G,power_in,N,Analog ground,Ground,N/A,383,,
F22,AVSS,G,power_in,N,Analog ground,Ground,N/A,384,,
F28,PD19,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,237,,2:LCD0-DE; 3:LVDS1-D3N; 4:DSI1-D3N; 5:PWM1-3; 6:UART4-RX; 14:PD-EINT19
F29,PD18,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD/VCC-LVDS0,236,,2:LCD0-CLK; 3:LVDS1-D3P; 4:DSI1-D3P; 5:PWM1-2; 6:UART4-TX; 14:PD-EINT18
G1,PK21,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,330,,2:MCSID-D1P; 3:MCSI1-MCLK; 4:UART6-CTS; 5:NCSI-D5; 14:PK-EINT21
G2,PK20,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,329,,2:MCSID-D1N; 3:TWI2-SDA; 4:UART6-RTS; 5:NCSI-D4; 14:PK-EINT20
G3,GND,G,power_in,L,Digital ground 1,Ground,N/A,408,,
G4,PK11,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,320,,2:MCSIB-CKP; 3:TWI3-SDA; 14:PK-EINT11
G5,PK10,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,319,,2:MCSIB-CKN; 3:TWI3-SCK; 14:PK-EINT10
G6,GND,G,power_in,L,Digital ground 1,Ground,N/A,409,,
G7,GND,G,power_in,L,Digital ground 1,Ground,N/A,410,,
G23,GND,G,power_in,L,Digital ground 1,Ground,N/A,411,,
G24,GND,G,power_in,L,Digital ground 1,Ground,N/A,412,,
G25,PD22,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD,240,,2:PWM0-1; 3:SPI1-HOLD/DBI-DCX/DBI-WRX; 4:UART2-RTS; 5:UART7-TX; 6:TWI0-SCK; 14:PD-EINT22
G26,PD23,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD,241,,2:PWM0-0; 3:SPI1-WP/DBI-TE; 4:UART2-CTS; 5:UART7-RX; 6:TWI0-SDA; 14:PD-EINT23
G27,GND,G,power_in,L,Digital ground 1,Ground,N/A,413,,
G28,PD20,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD,238,,2:LCD0-HSYNC; 3:PWM0-2; 4:UART2-TX; 5:UART7-RTS; 6:UART4-RTS; 14:PD-EINT20
G29,PD21,I/O,bidirectional,E,GPIO D / E,Port D,VCC-PD,239,,2:LCD0-VSYNC; 3:PWM0-3; 4:UART2-RX; 5:UART7-CTS; 6:UART4-CTS; 14:PD-EINT21
H1,PK23,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,332,,2:MCSID-CKP; 3:TWI3-SDA; 4:PWM0-7; 5:NCSI-D7; 14:PK-EINT23
H2,PK22,I/O,bidirectional,G,GPIO K / L / M,Port K,VCC-PK/VCC-MCSI,331,,2:MCSID-CKN; 3:TWI3-SCK; 4:PWM0-6; 5:NCSI-D6; 14:PK-EINT22
H9,GND,G,power_in,L,Digital ground 1,Ground,N/A,414,,
H10,VCC-MCSI,P,power_in,G,GPIO K / L / M,Port K,N/A,334,,
H11,GND,G,power_in,L,Digital ground 1,Ground,N/A,415,,
H12,VCC18-PCIE,P,power_in,H,USB / PCIe,PCIe2.1&USB3.1 DRD,N/A,125,,
H13,AVSS,G,power_in,N,Analog ground,Ground,N/A,385,,
H14,VDD09-PCIE,P,power_in,H,USB / PCIe,PCIe2.1&USB3.1 DRD,N/A,126,,
H15,VDD09-USB,P,power_in,H,USB / PCIe,USB2.0 DRD,N/A,107,,
H16,AVSS,G,power_in,N,Analog ground,Ground,N/A,386,,
H17,VCC33-USB,P,power_in,H,USB / PCIe,USB2.0 DRD,N/A,105,,
H18,VCC33-18-USB,P,power_in,H,USB / PCIe,USB2.0 DRD,N/A,106,,
H19,AVSS,G,power_in,N,Analog ground,Ground,N/A,387,,
H20,VCC18-EDP,P,power_in,I,eDP,eDP1.3,N/A,140,,
H21,VDD09-EDP,P,power_in,I,eDP,eDP1.3,N/A,141,,
H27,PB2,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,185,,2:UART2-RTS; 3:SPI2-MOSI; 4:JTAG-DO; 14:PB-EINT2
H28,PB3,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,186,,2:UART2-CTS; 3:SPI2-MISO; 4:JTAG-DI; 14:PB-EINT3
J1,PE0,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,245,,2:MCSI0-MCLK; 14:PE-EINT0
J2,PE1,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,246,,2:TWI2-SCK; 3:UART4-TX; 14:PE-EINT1
J3,GND,G,power_in,L,Digital ground 1,Ground,N/A,416,,
J4,PE8,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,253,,4:I2S2-DOUT0; 6:NCSI-D10; 14:PE-EINT8
J5,PE9,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,254,,4:I2S2-DIN0; 6:NCSI-D11; 14:PE-EINT9
J6,VCC-PE,P,power_in,E,GPIO D / E,Port E,N/A,261,VCC_PE -> VCC-PE,
J7,VCC-PK,P,power_in,G,GPIO K / L / M,Port K,N/A,333,,
J10,GND,G,power_in,L,Digital ground 1,Ground,N/A,417,,
J12,VCC-IO,P,power_in,K,Core power / sense,Power,N/A,360,,
J13,AVSS,G,power_in,N,Analog ground,Ground,N/A,388,,
J15,VCC33-USB-2,P,power_in,H,USB / PCIe,PCIe2.1&USB3.1 DRD,N/A,123,,
J16,AVSS,G,power_in,N,Analog ground,Ground,N/A,389,,
J18,AVSS,G,power_in,N,Analog ground,Ground,N/A,390,,
J19,AVSS,G,power_in,N,Analog ground,Ground,N/A,391,,
J22,GND,G,power_in,L,Digital ground 1,Ground,N/A,418,,
J23,VCC-PD,P,power_in,E,GPIO D / E,Port D,N/A,242,,
J24,PB0,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,183,,2:UART2-TX; 3:SPI2-CS0; 4:JTAG-MS; 6:PWM0-6; 14:PB-EINT0
J25,PB1,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,184,,2:UART2-RX; 3:SPI2-CLK; 4:JTAG-CK; 6:PWM0-7; 14:PB-EINT1
J26,GND,G,power_in,L,Digital ground 1,Ground,N/A,419,,
J27,PB4,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,187,,2:TWI1-SCK; 3:I2S0-MCLK; 5:PWM0-8; 14:PB-EINT4
J28,PB5,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,188,,2:TWI1-SDA; 3:I2S0-BCLK; 5:PWM0-9; 14:PB-EINT5
J29,PB6,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,189,,3:I2S0-LRCK; 5:PWM0-10; 14:PB-EINT6
K1,PE3,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,248,,2:TWI3-SCK; 3:UART4-RTS; 14:PE-EINT3
K2,PE2,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,247,,2:TWI2-SDA; 3:UART4-RX; 14:PE-EINT2
K9,GND,G,power_in,L,Digital ground 1,Ground,N/A,420,,
K10,VDD-VE,P,power_in,K,Core power / sense,Power,N/A,366,,
K12,GND,G,power_in,L,Digital ground 1,Ground,N/A,421,,
K15,GND,G,power_in,L,Digital ground 1,Ground,N/A,422,,
K16,GND,G,power_in,L,Digital ground 1,Ground,N/A,423,,
K18,GND,G,power_in,L,Digital ground 1,Ground,N/A,424,,
K19,VDD-DE,P,power_in,K,Core power / sense,Power,N/A,367,,
K21,VCC-LVDS0,P,power_in,E,GPIO D / E,Port D,N/A,243,,
K27,PB7,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,190,,2:OWA-IN; 3:I2S0-DOUT0; 4:I2S0-DIN1; 5:LCD0-D16; 6:PWM0-11; 14:PB-EINT7
K28,PB8,I/O,bidirectional,D,GPIO B / C / F,Port B,VCC-IO,191,,2:OWA-OUT; 3:I2S0-DIN0; 4:I2S0-DOUT1; 5:LCD0-D17; 6:PWM0-0; 14:PB-EINT8
L1,PE4,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,249,,2:TWI3-SDA; 3:UART4-CTS; 14:PE-EINT4
L2,PE5,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,250,,2:MCSI1-MCLK; 4:I2S2-MCLK; 5:LEDC; 14:PE-EINT5
L3,GND,G,power_in,L,Digital ground 1,Ground,N/A,425,,
L4,PE12,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,257,,2:TWI1-SDA; 3:UART5-CTS; 4:SPI2-CLK; 5:UART6-RX; 6:NCSI-D14; 14:PE-EINT12
L5,PE13,I/O,bidirectional,E,GPIO D / E,Port E,VCC-PE,258,,2:TWI4-SCK; 3:UART5-TX; 4:SPI2-MOSI; 5:UART6-RTS; 6:CSI0-XVS-FSYNC; 14:PE-EINT13
L6,GND,G,power_in,L,Digital ground 1,Ground,N/A,426,,
L7,GND,G,power_in,L,Digital ground 1,Ground,N/A,427,,
L9,GND,G,power_in,L,Digital ground 1,Ground,N/A,428,,
L10,VDD-VE,P,power_in,K,Core power / sense,Power,N/A,366,,
L13,GND,G,power_in,L,Digital ground 1,Ground,N/A,429,,
L15,VDD-SYSFB,P,passive,K,Core power / sense,Power,N/A,372,,
L16,GND,G,power_in,L,Digital ground 1,Ground,N/A,430,,
L18,VDD-DE,P,power_in,K,Core power / sense,Power,N/A,367,,
L19,VDD-DE,P,power_in,K,Core power / sense,Power,N/A,367,,
