Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D214,LED0603,LED_0603_1608Metric,62.25,-143.91,0.0,top
D215,LED0603,LED_0603_1608Metric,62.25,-145.71,0.0,top
D216,LED0603,LED_0603_1608Metric,62.25,-147.51,0.0,top
D217,LED0603,LED_0603_1608Metric,59.25,-127.71,0.0,top
D218,LED0603,LED_0603_1608Metric,59.25,-129.51,0.0,top
D219,LED0603,LED_0603_1608Metric,59.25,-131.31,0.0,top
D22,LED0603,LED_0603_1608Metric,110.25,-143.91,0.0,top
D220,LED0603,LED_0603_1608Metric,59.25,-133.11,0.0,top
D221,LED0603,LED_0603_1608Metric,59.25,-134.91,0.0,top
D222,LED0603,LED_0603_1608Metric,59.25,-136.71,0.0,top
D223,LED0603,LED_0603_1608Metric,59.25,-138.51,0.0,top
D224,LED0603,LED_0603_1608Metric,59.25,-140.31,0.0,top
D225,LED0603,LED_0603_1608Metric,59.25,-142.11,0.0,top
D226,LED0603,LED_0603_1608Metric,59.25,-143.91,0.0,top
D227,LED0603,LED_0603_1608Metric,59.25,-145.71,0.0,top
D228,LED0603,LED_0603_1608Metric,59.25,-147.51,0.0,top
D229,LED0603,LED_0603_1608Metric,56.25,-127.71,0.0,top
D23,LED0603,LED_0603_1608Metric,110.25,-145.71,0.0,top
D230,LED0603,LED_0603_1608Metric,56.25,-129.51,0.0,top
D231,LED0603,LED_0603_1608Metric,56.25,-131.31,0.0,top
D232,LED0603,LED_0603_1608Metric,56.25,-133.11,0.0,top
D233,LED0603,LED_0603_1608Metric,56.25,-134.91,0.0,top
D234,LED0603,LED_0603_1608Metric,56.25,-136.71,0.0,top
D235,LED0603,LED_0603_1608Metric,56.25,-138.51,0.0,top
D236,LED0603,LED_0603_1608Metric,56.25,-140.31,0.0,top
D237,LED0603,LED_0603_1608Metric,56.25,-142.11,0.0,top
D238,LED0603,LED_0603_1608Metric,56.25,-143.91,0.0,top
D239,LED0603,LED_0603_1608Metric,56.25,-145.71,0.0,top
D24,LED0603,LED_0603_1608Metric,110.25,-147.51,0.0,top
D240,LED0603,LED_0603_1608Metric,56.25,-147.51,0.0,top
D241,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.5,-130.65,0.0,top
D242,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.5,-137.27,0.0,top
D243,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.5,-143.89,0.0,top
D244,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.5,-150.51,0.0,top
D25,LED0603,LED_0603_1608Metric,107.25,-127.71,0.0,top
D26,LED0603,LED_0603_1608Metric,107.25,-129.51,0.0,top
D27,LED0603,LED_0603_1608Metric,107.25,-131.31,0.0,top
D28,LED0603,LED_0603_1608Metric,107.25,-133.11,0.0,top
D29,LED0603,LED_0603_1608Metric,107.25,-134.91,0.0,top
D3,LED0603,LED_0603_1608Metric,113.25,-131.31,0.0,top
D30,LED0603,LED_0603_1608Metric,107.25,-136.71,0.0,top
D31,LED0603,LED_0603_1608Metric,107.25,-138.51,0.0,top
D32,LED0603,LED_0603_1608Metric,107.25,-140.31,0.0,top
D33,LED0603,LED_0603_1608Metric,107.25,-142.11,0.0,top
D34,LED0603,LED_0603_1608Metric,107.25,-143.91,0.0,top
D35,LED0603,LED_0603_1608Metric,107.25,-145.71,0.0,top
D36,LED0603,LED_0603_1608Metric,107.25,-147.51,0.0,top
D37,LED0603,LED_0603_1608Metric,104.25,-127.71,0.0,top
D38,LED0603,LED_0603_1608Metric,104.25,-129.51,0.0,top
D39,LED0603,LED_0603_1608Metric,104.25,-131.31,0.0,top
D4,LED0603,LED_0603_1608Metric,113.25,-133.11,0.0,top
D40,LED0603,LED_0603_1608Metric,104.25,-133.11,0.0,top
D41,LED0603,LED_0603_1608Metric,104.25,-134.91,0.0,top
D42,LED0603,LED_0603_1608Metric,104.25,-136.71,0.0,top
D43,LED0603,LED_0603_1608Metric,104.25,-138.51,0.0,top
D44,LED0603,LED_0603_1608Metric,104.25,-140.31,0.0,top
D45,LED0603,LED_0603_1608Metric,104.25,-142.11,0.0,top
D46,LED0603,LED_0603_1608Metric,104.25,-143.91,0.0,top
D47,LED0603,LED_0603_1608Metric,104.25,-145.71,0.0,top
D48,LED0603,LED_0603_1608Metric,104.25,-147.51,0.0,top
D49,LED0603,LED_0603_1608Metric,101.25,-127.71,0.0,top
D5,LED0603,LED_0603_1608Metric,113.25,-134.91,0.0,top
D50,LED0603,LED_0603_1608Metric,101.25,-129.51,0.0,top
D51,LED0603,LED_0603_1608Metric,101.25,-131.31,0.0,top
D52,LED0603,LED_0603_1608Metric,101.25,-133.11,0.0,top
D53,LED0603,LED_0603_1608Metric,101.25,-134.91,0.0,top
D54,LED0603,LED_0603_1608Metric,101.25,-136.71,0.0,top
D55,LED0603,LED_0603_1608Metric,101.25,-138.51,0.0,top
D56,LED0603,LED_0603_1608Metric,101.25,-140.31,0.0,top
D57,LED0603,LED_0603_1608Metric,101.25,-142.11,0.0,top
D58,LED0603,LED_0603_1608Metric,101.25,-143.91,0.0,top
D59,LED0603,LED_0603_1608Metric,101.25,-145.71,0.0,top
D6,LED0603,LED_0603_1608Metric,113.25,-136.71,0.0,top
D60,LED0603,LED_0603_1608Metric,101.25,-147.51,0.0,top
D61,LED0603,LED_0603_1608Metric,98.25,-127.71,0.0,top
D62,LED0603,LED_0603_1608Metric,98.25,-129.51,0.0,top
D63,LED0603,LED_0603_1608Metric,98.25,-131.31,0.0,top
D64,LED0603,LED_0603_1608Metric,98.25,-133.11,0.0,top
D65,LED0603,LED_0603_1608Metric,98.25,-134.91,0.0,top
D66,LED0603,LED_0603_1608Metric,98.25,-136.71,0.0,top
D67,LED0603,LED_0603_1608Metric,98.25,-138.51,0.0,top
D68,LED0603,LED_0603_1608Metric,98.25,-140.31,0.0,top
D69,LED0603,LED_0603_1608Metric,98.25,-142.11,0.0,top
D7,LED0603,LED_0603_1608Metric,113.25,-138.51,0.0,top
D70,LED0603,LED_0603_1608Metric,98.25,-143.91,0.0,top
D71,LED0603,LED_0603_1608Metric,98.25,-145.71,0.0,top
D72,LED0603,LED_0603_1608Metric,98.25,-147.51,0.0,top
D73,LED0603,LED_0603_1608Metric,95.25,-127.71,0.0,top
D74,LED0603,LED_0603_1608Metric,95.25,-129.51,0.0,top
D75,LED0603,LED_0603_1608Metric,95.25,-131.31,0.0,top
D76,LED0603,LED_0603_1608Metric,95.25,-133.11,0.0,top
D77,LED0603,LED_0603_1608Metric,95.25,-134.91,0.0,top
D78,LED0603,LED_0603_1608Metric,95.25,-136.71,0.0,top
D79,LED0603,LED_0603_1608Metric,95.25,-138.51,0.0,top
D8,LED0603,LED_0603_1608Metric,113.25,-140.31,0.0,top
D80,LED0603,LED_0603_1608Metric,95.25,-140.31,0.0,top
D81,LED0603,LED_0603_1608Metric,95.25,-142.11,0.0,top
D82,LED0603,LED_0603_1608Metric,95.25,-143.91,0.0,top
D83,LED0603,LED_0603_1608Metric,95.25,-145.71,0.0,top
D84,LED0603,LED_0603_1608Metric,95.25,-147.51,0.0,top
D85,LED0603,LED_0603_1608Metric,92.25,-127.71,0.0,top
D86,LED0603,LED_0603_1608Metric,92.25,-129.51,0.0,top
D87,LED0603,LED_0603_1608Metric,92.25,-131.31,0.0,top
D88,LED0603,LED_0603_1608Metric,92.25,-133.11,0.0,top
D89,LED0603,LED_0603_1608Metric,92.25,-134.91,0.0,top
D9,LED0603,LED_0603_1608Metric,113.25,-142.11,0.0,top
D90,LED0603,LED_0603_1608Metric,92.25,-136.71,0.0,top
D91,LED0603,LED_0603_1608Metric,92.25,-138.51,0.0,top
D92,LED0603,LED_0603_1608Metric,92.25,-140.31,0.0,top
D93,LED0603,LED_0603_1608Metric,92.25,-142.11,0.0,top
D94,LED0603,LED_0603_1608Metric,92.25,-143.91,0.0,top
D95,LED0603,LED_0603_1608Metric,92.25,-145.71,0.0,top
D96,LED0603,LED_0603_1608Metric,92.25,-147.51,0.0,top
D97,LED0603,LED_0603_1608Metric,89.25,-127.71,0.0,top
D98,LED0603,LED_0603_1608Metric,89.25,-129.51,0.0,top
D99,LED0603,LED_0603_1608Metric,89.25,-131.31,0.0,top
IC1,PCA9698DGG,SOP50P810X120-56N,46.472155,-137.6303,0.0,top
J1,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Horizontal,98.9,-151.0,-90.0,top
J2,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Horizontal,68.42,-151.0,-90.0,top
RN1,1k,R_Array_Concave_4x0603,53.1,-128.7803,180.0,top
RN2,1k,R_Array_Concave_4x0603,53.1,-146.5803,180.0,top
RN3,1k,R_Array_Concave_4x0603,53.1,-137.66,180.0,top
